Source_Document,Topic_Label,Unstructured_Text_Content
리노공업_2020_사업보고서,재무실적_전사,"2020년 연결기준 매출액은 2,013억원, 영업이익은 778억원을 기록하였습니다. 코로나19 팬데믹 상황 속에서도 5G, AI, 빅데이터 등 미래지향형 산업의 부각으로 테스트 소켓 및 리노핀의 견조한 수요가 이어지며 전년 대비 실적이 상승했습니다."
리노공업_2020_사업보고서,주요사업_반도체,"주력 제품인 IC TEST SOCKET과 LEENO PIN은 다품종 주문 생산 체제를 바탕으로 글로벌 IT 업체들의 신규 디바이스 개발 수요에 적극 대응하였으며, 초음파 진단기용 의료기기 부품 부문도 지멘스와의 파트너십을 통해 안정적인 매출을 달성했습니다."
리노공업_2020_사업보고서,성장동력_R&D,"반도체 패키지의 소형화 및 고집적화에 발맞춰 80㎛ Pitch 대응 초소형 리노핀, WLC(Wafer Level Chip) 프로브 카드, 5G 대응 고주파(RF) 테스트 소켓 등 차세대 반도체 검사 장비 원천기술 확보를 위한 R&D를 지속했습니다."
리노공업_2021_사업보고서,재무실적_전사,"2021년 연결기준 매출액은 2,801억원, 영업이익은 1,171억원을 기록하여 전년 대비 각각 39%, 50%의 폭발적인 성장을 이루었습니다. 글로벌 IT 기업들의 지속적인 신규 발주와 해외 시장에서의 브랜드 가치 상승이 역대 최대 실적을 견인했습니다."
리노공업_2021_사업보고서,주요사업_반도체,"반도체 미세화 및 고사양화 트렌드에 따라 고부가가치 제품인 IC TEST SOCKET 매출이 크게 증가(전체 매출의 57%)하였으며, 대량생산 조립기술과 초정밀가공, 도금기술을 바탕으로 시장의 변화에 신속하게 대응했습니다."
리노공업_2021_사업보고서,성장동력_R&D,점차 늘어나는 5G 관련 제품 테스트 시장과 차량용 전지 시장을 선점하기 위해 5G 대응 AIP/OTA 테스트 소켓과 600A급 대용량(대전류) 리노핀 개발 등에 연구 역량을 집중하며 신성장 동력을 창출했습니다.
리노공업_2022_사업보고서,재무실적_전사,"2022년 연결기준 매출액은 3,224억원, 영업이익은 1,366억원을 달성하며 전년 대비 매출 15%, 영업이익 16% 증가로 다시 한번 사상 최대 실적을 경신했습니다."
리노공업_2022_사업보고서,주요사업_반도체,"비메모리 및 시스템 반도체(센서, 로직 등) 다변화 수혜를 받으며 IC TEST SOCKET과 LEENO PIN의 글로벌 수요가 지속 확대되었으며, 신모델에 대한 높은 매출 점유율과 우수한 수익구조(영업이익률 42%)를 유지했습니다."
리노공업_2022_사업보고서,성장동력_R&D,"장기적인 생산능력 증대와 R&D 역량 확대를 위해 부산 에코델타시티 내 약 754억원 규모의 신규 부지 매입 계약을 체결하였으며, 100GHz 대응 초고주파 소켓 및 수냉식 쿨러 적용 Lid 등 고사양 테스트 부품 개발에 선제적으로 투자했습니다."
리노공업_2023_사업보고서,재무실적_전사,"2023년 글로벌 경기침체 및 반도체 시장 위축의 여파로 연결기준 매출액은 2,555억원(전년 대비 21% 감소), 영업이익은 1,143억원(전년 대비 16% 감소)을 기록하며 실적이 일시적으로 둔화되었습니다."
리노공업_2023_사업보고서,주요사업_반도체,"전방 IT 수요 감소로 주요 반도체 고객사들의 투자가 축소되었으나, 다품종 단납기 대응 능력과 원가절감을 통해 영업이익률 44.8%라는 압도적인 수익성을 방어하는 데 성공했습니다."
리노공업_2023_사업보고서,성장동력_R&D,"업황 부진 속에서도 차세대 TSV용 프로브카드, Narrow Pitch Coaxial Pin, 고온/고전류 대응 테스트 핀 등 AI 및 자율주행 반도체 시대를 대비한 선행 R&D 프로젝트를 흔들림 없이 추진했습니다."
리노공업_2024_사업보고서,재무실적_전사,"2024년 연결기준 매출액은 2,781억원(전년 대비 9% 증가), 영업이익은 1,242억원(전년 대비 9% 증가)을 기록하며, 전년도의 부진을 씻고 뚜렷한 실적 턴어라운드를 달성했습니다."
리노공업_2024_사업보고서,주요사업_반도체,"AI, 메타버스, 자율주행 등 신규 디바이스 R&D용 테스트 소켓 수요에 발 빠르게 대응하였으며, 반도체 미세화에 최적화된 리노핀의 독보적 경쟁력(영업이익률 44.6%)을 재입증했습니다."
리노공업_2024_사업보고서,성장동력_R&D,미래 폭발적인 반도체 테스트 수요에 대응하기 위해 부산 에코델타시티에 총 971억원 규모의 신규 공장 신설 및 장비 도입 투자를 본격 개시(2026년 하반기 완공 목표)하여 중장기 생산 인프라 확충에 나섰습니다.
