Source_Document,Topic_Label,Unstructured_Text_Content
주성엔지니어링_2020_실제데이터,재무실적_전사,"2020년 연결기준 매출액은 1,185억원, 영업이익은 -250억원으로, 주요 고객사의 신규 설비 투자 감소 및 차세대 장비 R&D 투자 지속으로 인해 적자 전환하였습니다."
주성엔지니어링_2020_실제데이터,주요사업_반도체,전방 산업의 투자 위축 속에서도 반도체 초미세 공정화(Tech-Migration) 트렌드에 대비하여 공간분할 플라즈마 증착기(SDP System) 등 ALD 장비의 고도화에 집중했습니다.
주성엔지니어링_2020_실제데이터,성장동력_R&D,"당기순손실에도 불구하고 차세대 반도체, 디스플레이(OLED), 태양광(HJT) 장비 개발을 위한 막대한 연구개발비를 지속적으로 투입하며 중장기 성장 기반을 다졌습니다."
주성엔지니어링_2021_실제데이터,재무실적_전사,"2021년 연결기준 매출액은 약 3,773억원, 영업이익은 약 1,026억원으로 전년 대비 대규모 흑자 전환에 성공하며 폭발적인 외형 성장을 이루었습니다."
주성엔지니어링_2021_실제데이터,주요사업_반도체,"반도체 업황 개선과 고객사의 설비투자 증가에 힘입어, 미세공정 핵심 장비인 High-K 물질용 ALD/CVD 장비의 수주가 크게 증가했습니다."
주성엔지니어링_2021_실제데이터,성장동력_R&D,"디스플레이 사업 부문에서 10.5세대 대형 및 중소형 OLED 패널 장비 다각화를 추진하였으며, 경영혁신을 통한 원가절감과 이익률 극대화(27.2%)를 달성했습니다."
주성엔지니어링_2022_실제데이터,재무실적_전사,"2022년 연결기준 매출액은 약 4,379억원, 영업이익은 약 1,239억원을 기록하여 전년 대비 성장세를 이어가며 역대 최대 실적을 경신했습니다."
주성엔지니어링_2022_실제데이터,주요사업_반도체,선폭이 좁아지고 패턴의 종횡비가 증가하는 미세화 공정에서 단차피복성(Step Coverage)을 극대화하는 주성의 차별화된 ALD 기술 수요가 급증하며 실적을 견인했습니다.
주성엔지니어링_2022_실제데이터,성장동력_R&D,메모리 반도체 중심의 포트폴리오를 넘어 비메모리(시스템 반도체)의 다양한 Application 수요를 충족시킬 수 있는 차세대 범용 양산 장비 개발에 박차를 가했습니다.
주성엔지니어링_2023_실제데이터,재무실적_전사,"2023년 글로벌 금리 인상 및 반도체 다운사이클에 따른 전방 고객사들의 대규모 CAPEX(설비투자) 축소 영향으로, 연결기준 매출액 2,847억원, 영업이익 289억원을 기록하며 실적이 둔화되었습니다."
주성엔지니어링_2023_실제데이터,주요사업_반도체,혹독한 반도체 한파 속에서도 기존 고객사 외에 글로벌 반도체 공급망 편입을 위한 영업망 확대 및 차세대 장비 데모 퀄테스트를 지속하며 반등을 준비했습니다.
주성엔지니어링_2023_실제데이터,성장동력_R&D,반도체 초미세 공정기술과 OLED 디스플레이 대면적 증착기술을 융복합하여 발전전환효율 35% 이상 구현이 가능한 차세대 탠덤(Tandem) 태양전지 장비 기술 선도에 연구 역량을 집중했습니다.
주성엔지니어링_2024_실제데이터,재무실적_전사,"2024년 국내외 반도체 고객사들의 투자 재개 및 매출 증가에 따라 연결기준 매출액 약 4,094억원, 영업이익 972억원을 기록하며 강력한 실적 턴어라운드에 성공했습니다."
주성엔지니어링_2024_실제데이터,주요사업_반도체,"AI 수요 확대로 인한 초미세 DRAM 및 차세대 메모리 공정 투자가 재개됨에 따라, 핵심 증착 장비인 ALD/SDP 장비의 매출이 전년 동기 대비 43.8% 증가하며 부활을 이끌었습니다."
주성엔지니어링_2024_실제데이터,성장동력_R&D,"글로벌 비메모리 및 해외 고객사로의 다변화를 위해 미래 성장동력 확보를 위한 연구개발 투자를 지속 중이며, 압도적인 원천기술 특허를 바탕으로 글로벌 장비사와의 기술 격차를 넓히고 있습니다."
